trigger_selection,sample_selection,poison_size,watermark_size,iteration,acc_clean,fp,acc_xb
CountAbsSHAP,p-value,150,16,1,0.991585,0.00744,0.027548682125155207
CountAbsSHAP,p-value,300,4,1,0.99181,0.0075,0.3731536040035515
CountAbsSHAP,p-value,300,8,1,0.99059,0.00925,0.10902335349292731
CountAbsSHAP,p-value,300,16,1,0.99114,0.0074,0.0339301592433918
CountAbsSHAP,instance,30,4,1,0.99068,0.00944,0.9075797335486475
CountAbsSHAP,instance,30,8,1,0.99099,0.01018,0.6058196258667957
CountAbsSHAP,instance,30,16,1,0.991595,0.00791,0.5091312682877611
CountAbsSHAP,instance,150,4,1,0.991625,0.00588,0.8149383801926946
CountAbsSHAP,instance,150,8,1,0.992055,0.00494,0.5537030483797584
CountAbsSHAP,instance,150,16,1,0.991575,0.0085,0.5257096757928704
CountAbsSHAP,instance,300,4,1,0.991315,0.00608,0.8361400208352298
CountAbsSHAP,instance,300,8,1,0.992005,0.0052,0.5356799870603816
CountAbsSHAP,instance,300,16,1,0.99128,0.00711,0.49730718320248163
MinPopulation,p-value,30,4,1,0.99149,0.00513,0.023388084322595662
MinPopulation,p-value,30,8,1,0.99204,0.00464,0.0003641071284084473
MinPopulation,p-value,30,16,1,0.991785,0.00535,0.0003134732839865712
MinPopulation,p-value,150,4,1,0.99142,0.00751,0.22097238350078255
MinPopulation,p-value,150,8,1,0.991425,0.00697,0.05461599078620355
MinPopulation,p-value,150,16,1,0.991145,0.00884,0.037280679628303046
MinPopulation,p-value,300,4,1,0.99094,0.00748,0.15994178054499877
MinPopulation,p-value,300,8,1,0.991515,0.00796,0.0023612750885478157
MinPopulation,p-value,300,16,1,0.991605,0.0072,0.0017164608596439857
MinPopulation,instance,30,4,1,0.991745,0.00517,0.8275645823640079
MinPopulation,instance,30,8,1,0.99201,0.00676,0.518106946042512
MinPopulation,instance,30,16,1,0.99134,0.00804,0.4890079941860465
MinPopulation,instance,150,4,1,0.99175,0.00696,0.8692627667952265
MinPopulation,instance,150,8,1,0.991435,0.0079,0.6005631983204982
MinPopulation,instance,150,16,1,0.99153,0.00534,0.47719546742209634
MinPopulation,instance,300,4,1,0.991415,0.00716,0.8117960787482702
MinPopulation,instance,300,8,1,0.99155,0.00639,0.6787132765363976
MinPopulation,instance,300,16,1,0.991815,0.00716,0.4639025424156481
GreedySelection,p-value,30,4,1,0.99145,0.00864,0.9979224237045404
GreedySelection,p-value,30,8,1,0.99175,0.00654,0.9981818916407418
GreedySelection,p-value,30,16,1,0.991535,0.00584,0.9985438513110394
GreedySelection,p-value,150,4,1,0.99185,0.00737,0.9969729686096844
GreedySelection,p-value,150,8,1,0.991495,0.0071,0.9952226565261744
GreedySelection,p-value,150,16,1,0.99091,0.00842,0.9969603328486023
GreedySelection,p-value,300,4,1,0.99206,0.00578,0.9915344984341853
GreedySelection,p-value,300,8,1,0.991305,0.0073,0.9930801790061723
GreedySelection,p-value,300,16,1,0.991335,0.00877,0.9927378358750908
GreedySelection,instance,30,4,1,0.991225,0.00808,0.9668864143438362
GreedySelection,instance,30,8,1,0.991565,0.00565,0.9122150528934647
GreedySelection,instance,30,16,1,0.99124,0.00667,0.911196481827832
GreedySelection,instance,150,4,1,0.991975,0.00692,0.9538990987717864
GreedySelection,instance,150,8,1,0.991115,0.00607,0.9333299605382981
GreedySelection,instance,150,16,1,0.99225,0.00575,0.8950164099974753
GreedySelection,instance,300,4,1,0.991195,0.00877,0.9526211711529925
GreedySelection,instance,300,8,1,0.991645,0.00605,0.9399498655669436
GreedySelection,instance,300,16,1,0.991315,0.00775,0.9421636139663564
VR,p-value,30,4,1,0.992265,0.00548,0.0004949444955101464
VR,p-value,30,8,1,0.991805,0.00477,0.00018211619012930248
VR,p-value,30,16,1,0.99156,0.00489,0.00013157761561117802
VR,p-value,150,4,1,0.991185,0.00568,0.00035423308537017357
VR,p-value,150,8,1,0.99215,0.00667,0.0001816402111062898
VR,p-value,150,16,1,0.991545,0.00726,0.00020194880597768466
VR,p-value,300,4,1,0.991325,0.00719,0.003343974783803443
VR,p-value,300,8,1,0.991345,0.00764,0.008037724798804439
VR,p-value,300,16,1,0.9913,0.00898,0.0003126323645091672
VR,instance,30,4,1,0.991575,0.00487,0.6841055849071881
VR,instance,30,8,1,0.99182,0.00539,0.429855514999545
VR,instance,30,16,1,0.99226,0.00668,0.3810230024213075
VR,instance,150,4,1,0.99142,0.00624,0.7209426942208922
VR,instance,150,8,1,0.99158,0.00715,0.460785006715069
VR,instance,150,16,1,0.992085,0.00554,0.22668256357923028
VR,instance,300,4,1,0.991255,0.00758,0.6028441858820915
VR,instance,300,8,1,0.991765,0.00468,0.440827354509669
VR,instance,300,16,1,0.991255,0.00396,0.2861719058866463
CountAbsSHAP,p-value,30,4,2,0.990685,0.0084,0.5410347858593411
CountAbsSHAP,p-value,30,8,2,0.991005,0.00831,0.0904758058001454
CountAbsSHAP,p-value,30,16,2,0.9918,0.00513,0.024000485471261112
CountAbsSHAP,p-value,150,4,2,0.9918,0.00628,0.2061057906008809
CountAbsSHAP,p-value,150,8,2,0.991245,0.00884,0.15045443999475452
CountAbsSHAP,p-value,150,16,2,0.991405,0.00917,0.016189842537147926
CountAbsSHAP,p-value,300,4,2,0.990875,0.00884,0.2237757296156836
CountAbsSHAP,p-value,300,8,2,0.99143,0.00895,0.012835119629767798
CountAbsSHAP,p-value,300,16,2,0.991435,0.0092,0.01812372110838953
CountAbsSHAP,instance,30,4,2,0.98863,0.01571,0.9066235636524769
CountAbsSHAP,instance,30,8,2,0.990265,0.0114,0.6050225318318833
CountAbsSHAP,instance,30,16,2,0.9917,0.00732,0.4848796834625323
CountAbsSHAP,instance,150,4,2,0.990775,0.0104,0.822733000655275
CountAbsSHAP,instance,150,8,2,0.990585,0.01041,0.6284414772383469
CountAbsSHAP,instance,150,16,2,0.989825,0.01175,0.5152713334678233
CountAbsSHAP,instance,300,4,2,0.99046,0.01116,0.796800661236997
CountAbsSHAP,instance,300,8,2,0.99102,0.00927,0.6246381051336111
CountAbsSHAP,instance,300,16,2,0.99166,0.00578,0.43631584268526946
MinPopulation,p-value,30,4,2,0.990745,0.00939,0.12941022121750365
MinPopulation,p-value,30,8,2,0.99091,0.00859,0.0006966811724437354
MinPopulation,p-value,30,16,2,0.991625,0.00663,0.009657736291267628
MinPopulation,p-value,150,4,2,0.990685,0.00931,0.1840049259094763
MinPopulation,p-value,150,8,2,0.99126,0.00666,0.0012131260235750823
MinPopulation,p-value,150,16,2,0.9912,0.00935,0.0009074867658179985
MinPopulation,p-value,300,4,2,0.991765,0.00722,0.06873580620741862
MinPopulation,p-value,300,8,2,0.99197,0.00476,0.0016890866794781025
MinPopulation,p-value,300,16,2,0.991765,0.00858,0.02115692816320771
MinPopulation,instance,30,4,2,0.991285,0.00933,0.8781026313136405
MinPopulation,instance,30,8,2,0.99049,0.00942,0.6228493537964459
MinPopulation,instance,30,16,2,0.990955,0.00872,0.4928479856253091
MinPopulation,instance,150,4,2,0.991575,0.0059,0.6962640918052677
MinPopulation,instance,150,8,2,0.991895,0.00673,0.5274300367483746
MinPopulation,instance,150,16,2,0.99111,0.00931,0.4781297590592317
MinPopulation,instance,300,4,2,0.991285,0.00656,0.6322222559218708
MinPopulation,instance,300,8,2,0.990885,0.01016,0.6582722571149174
MinPopulation,instance,300,16,2,0.99198,0.00622,0.4448080147043972
GreedySelection,p-value,30,4,2,0.99116,0.00598,0.9978751391277952
GreedySelection,p-value,30,8,2,0.99103,0.0073,0.9978673081588098
GreedySelection,p-value,30,16,2,0.989505,0.01262,0.9984066637758034
GreedySelection,p-value,150,4,2,0.991115,0.00908,0.9974478215694385
GreedySelection,p-value,150,8,2,0.99118,0.00983,0.9972787470141807
GreedySelection,p-value,150,16,2,0.99097,0.00998,0.9973183321235584
GreedySelection,p-value,300,4,2,0.991835,0.00631,0.9954847572678236
GreedySelection,p-value,300,8,2,0.99227,0.00511,0.9928762693881675
GreedySelection,p-value,300,16,2,0.991325,0.00785,0.9957698132256436
GreedySelection,instance,30,4,2,0.99019,0.01133,0.9668451462625163
GreedySelection,instance,30,8,2,0.99183,0.00721,0.9338661983913127
GreedySelection,instance,30,16,2,0.990675,0.00957,0.9355245630323336
GreedySelection,instance,150,4,2,0.9907,0.01035,0.9590420973027477
GreedySelection,instance,150,8,2,0.99105,0.00872,0.9473971054278274
GreedySelection,instance,150,16,2,0.991655,0.00755,0.9091294431100256
GreedySelection,instance,300,4,2,0.991195,0.00833,0.9551942021963824
GreedySelection,instance,300,8,2,0.989945,0.01088,0.9445380865387527
GreedySelection,instance,300,16,2,0.99051,0.01024,0.9002481689970341
VR,p-value,30,4,2,0.99147,0.0073,0.0009997576345128455
VR,p-value,30,8,2,0.9908,0.00857,0.0002423826211660624
VR,p-value,30,16,2,0.9904,0.01135,0.00015118681650960037
VR,p-value,150,4,2,0.991545,0.00721,0.0008482278097546198
VR,p-value,150,8,2,0.99164,0.00802,0.00019166750731362857
VR,p-value,150,16,2,0.99095,0.009,0.00019174487839337975
VR,p-value,300,4,2,0.99137,0.00729,0.0025756795248628827
VR,p-value,300,8,2,0.991885,0.00712,0.000605516253065426
VR,p-value,300,16,2,0.9915,0.00763,0.0002018917254676317
VR,instance,30,4,2,0.99066,0.00941,0.7215588505445479
VR,instance,30,8,2,0.99147,0.00817,0.44894108625682316
VR,instance,30,16,2,0.991215,0.0092,0.35463832276151386
VR,instance,150,4,2,0.989795,0.01256,0.7604192914377866
VR,instance,150,8,2,0.99005,0.01246,0.5379019908116386
VR,instance,150,16,2,0.9914,0.00733,0.36563885550382275
VR,instance,300,4,2,0.99052,0.01076,0.677898769913289
VR,instance,300,8,2,0.990125,0.01033,0.4425387146924024
VR,instance,300,16,2,0.991335,0.00853,0.3813256658595642
CountAbsSHAP,p-value,30,4,3,0.99166,0.00568,0.3921638018200202
CountAbsSHAP,p-value,30,8,3,0.9906,0.00353,0.010063672275649162
CountAbsSHAP,p-value,30,16,3,0.991845,0.00402,0.0013971712344716567
CountAbsSHAP,p-value,150,4,3,0.991295,0.00398,0.18593713573289275
CountAbsSHAP,p-value,150,8,3,0.99159,0.00473,0.019192031662803293
CountAbsSHAP,p-value,150,16,3,0.99161,0.00392,0.01320987904451243
CountAbsSHAP,p-value,300,4,3,0.99067,0.01008,0.16969599160799662
CountAbsSHAP,p-value,300,8,3,0.990755,0.01045,0.05333884430823824
CountAbsSHAP,p-value,300,16,3,0.990115,0.0112,0.017005739184813854
CountAbsSHAP,instance,30,4,3,0.99072,0.01012,0.7972790350558716
CountAbsSHAP,instance,30,8,3,0.99094,0.00894,0.579742031852405
CountAbsSHAP,instance,30,16,3,0.99145,0.00801,0.5191288815331362
CountAbsSHAP,instance,150,4,3,0.99154,0.0062,0.7820536147501213
CountAbsSHAP,instance,150,8,3,0.99034,0.01065,0.5829542130269436
CountAbsSHAP,instance,150,16,3,0.99122,0.00641,0.4437781261060828
CountAbsSHAP,instance,300,4,3,0.99051,0.00836,0.8456002749196466
CountAbsSHAP,instance,300,8,3,0.991175,0.00725,0.5693007275666936
CountAbsSHAP,instance,300,16,3,0.99,0.01035,0.5184631695865098
MinPopulation,p-value,30,4,3,0.991375,0.00586,0.0832178513266101
MinPopulation,p-value,30,8,3,0.99158,0.00427,0.0005468742088046748
MinPopulation,p-value,30,16,3,0.991,0.00467,0.001165536602916882
MinPopulation,p-value,150,4,3,0.990815,0.00387,0.09581938102486048
MinPopulation,p-value,150,8,3,0.990515,0.00348,0.00850169119663589
MinPopulation,p-value,150,16,3,0.99087,0.00375,0.00038559498320632377
